schema_version,suite_id,suite_fingerprint,artifact_type,artifact_sha256,inference_category,effective_inference_chunk_size,model_type,device_class,device_name,silence_policy_id,scope,case_id,relative_score_status,digital_silence,silent_case_count,total_case_count,esr,mse,multi_resolution_stft_distance,p50_latency_ms,p95_latency_ms,real_time_factor,peak_memory_bytes,artifact_size_bytes,esr_eligible_count,multi_resolution_stft_distance_eligible_count,esr_excluded_count,multi_resolution_stft_distance_excluded_count,prediction_rms,prediction_abs_peak
1.1,gear-comparison-44100-pearl-clean-sm57-test,dea7c5e01e7f1c228959a4639a05792e8bd7ee1cceee58b88cac747afbda56d6,checkpoint,41aa62864d5394129dad96165a2eb3795266f38ef9ebea852edd0c2044fb8f2f,native_stateful,8192,wavenet,cpu,13th Gen Intel(R) Core(TM) i5-13400F,digital_silence_v1,aggregate,,aggregate,,0,4,0.017989154206588864,0.00030328019420267083,0.8090653121471405,110.7406915,113.78354590000001,0.1107406915,899543040.0,460962.0,4,4,0,0,,
1.1,gear-comparison-44100-pearl-clean-sm57-test,dea7c5e01e7f1c228959a4639a05792e8bd7ee1cceee58b88cac747afbda56d6,checkpoint,41aa62864d5394129dad96165a2eb3795266f38ef9ebea852edd0c2044fb8f2f,native_stateful,8192,wavenet,cpu,13th Gen Intel(R) Core(TM) i5-13400F,digital_silence_v1,case,early,eligible,False,,,0.012715168297290802,4.589899617712945e-05,0.7906959056854248,111.326355,113.2601542,0.111326355,899543040.0,460962.0,,,,,0.060436416417360306,0.2965030372142792
1.1,gear-comparison-44100-pearl-clean-sm57-test,dea7c5e01e7f1c228959a4639a05792e8bd7ee1cceee58b88cac747afbda56d6,checkpoint,41aa62864d5394129dad96165a2eb3795266f38ef9ebea852edd0c2044fb8f2f,native_stateful,8192,wavenet,cpu,13th Gen Intel(R) Core(TM) i5-13400F,digital_silence_v1,case,first-middle,eligible,False,,,0.015453405678272247,0.00034205277916043997,0.8114911913871765,110.2337035,111.94751839999999,0.1102337035,899543040.0,460962.0,,,,,0.14256995916366577,0.4287937581539154
1.1,gear-comparison-44100-pearl-clean-sm57-test,dea7c5e01e7f1c228959a4639a05792e8bd7ee1cceee58b88cac747afbda56d6,checkpoint,41aa62864d5394129dad96165a2eb3795266f38ef9ebea852edd0c2044fb8f2f,native_stateful,8192,wavenet,cpu,13th Gen Intel(R) Core(TM) i5-13400F,digital_silence_v1,case,second-middle,eligible,False,,,0.014442277140915394,0.0002784636162687093,0.8148398399353027,110.0348085,113.97598885000001,0.1100348085,899543040.0,460962.0,,,,,0.14199531078338623,0.38406115770339966
1.1,gear-comparison-44100-pearl-clean-sm57-test,dea7c5e01e7f1c228959a4639a05792e8bd7ee1cceee58b88cac747afbda56d6,checkpoint,41aa62864d5394129dad96165a2eb3795266f38ef9ebea852edd0c2044fb8f2f,native_stateful,8192,wavenet,cpu,13th Gen Intel(R) Core(TM) i5-13400F,digital_silence_v1,case,late,eligible,False,,,0.029345765709877014,0.0005467053852044046,0.819234311580658,110.6018335,113.97699315,0.1106018335,899543040.0,460962.0,,,,,0.1335221827030182,0.4141613841056824
