schema_version,suite_id,suite_fingerprint,artifact_type,artifact_sha256,inference_category,effective_inference_chunk_size,model_type,device_class,device_name,silence_policy_id,scope,case_id,relative_score_status,digital_silence,silent_case_count,total_case_count,esr,mse,multi_resolution_stft_distance,p50_latency_ms,p95_latency_ms,real_time_factor,peak_memory_bytes,artifact_size_bytes,esr_eligible_count,multi_resolution_stft_distance_eligible_count,esr_excluded_count,multi_resolution_stft_distance_excluded_count,prediction_rms,prediction_abs_peak
1.1,gear-comparison-44100-tsmini-gain-75-test,e965447128486b8a865d14c8740f72f222c9bb5f3026bead8f2f35a17f552373,checkpoint,4f3c69d13edb4fab812e07cbd3ca7b1762365be9ac741c7b8dc3ec3209fc9651,native_stateful,8192,wavenet,cpu,x86_64,digital_silence_v1,aggregate,,aggregate,,0,4,0.00047147873556241393,7.26091616343183e-06,0.47255324572324753,165.8389845,173.32093584999998,0.1658389845,868810752.0,461090.0,4,4,0,0,,
1.1,gear-comparison-44100-tsmini-gain-75-test,e965447128486b8a865d14c8740f72f222c9bb5f3026bead8f2f35a17f552373,checkpoint,4f3c69d13edb4fab812e07cbd3ca7b1762365be9ac741c7b8dc3ec3209fc9651,native_stateful,8192,wavenet,cpu,x86_64,digital_silence_v1,case,early,eligible,False,,,0.0005798793863505125,7.006261967035243e-06,0.5358957648277283,164.46515799999997,168.3790938,0.16446515799999997,868810752.0,461090.0,,,,,0.1094333827495575,0.3035181760787964
1.1,gear-comparison-44100-tsmini-gain-75-test,e965447128486b8a865d14c8740f72f222c9bb5f3026bead8f2f35a17f552373,checkpoint,4f3c69d13edb4fab812e07cbd3ca7b1762365be9ac741c7b8dc3ec3209fc9651,native_stateful,8192,wavenet,cpu,x86_64,digital_silence_v1,case,first-middle,eligible,False,,,0.0008959980914369226,1.4472391740127932e-05,0.5658887028694153,170.32264600000002,177.36783925,0.17032264600000002,868810752.0,461090.0,,,,,0.12569749355316162,0.3035181760787964
1.1,gear-comparison-44100-tsmini-gain-75-test,e965447128486b8a865d14c8740f72f222c9bb5f3026bead8f2f35a17f552373,checkpoint,4f3c69d13edb4fab812e07cbd3ca7b1762365be9ac741c7b8dc3ec3209fc9651,native_stateful,8192,wavenet,cpu,x86_64,digital_silence_v1,case,second-middle,eligible,False,,,0.00015203389921225607,2.7905343813472427e-06,0.3978203535079956,163.8790575,173.4307974,0.16387905749999998,868810752.0,461090.0,,,,,0.13502702116966248,0.2756008207798004
1.1,gear-comparison-44100-tsmini-gain-75-test,e965447128486b8a865d14c8740f72f222c9bb5f3026bead8f2f35a17f552373,checkpoint,4f3c69d13edb4fab812e07cbd3ca7b1762365be9ac741c7b8dc3ec3209fc9651,native_stateful,8192,wavenet,cpu,x86_64,digital_silence_v1,case,late,eligible,False,,,0.0002580035652499646,4.774476565216901e-06,0.39060816168785095,165.94143400000002,168.1424892,0.16594143400000003,868810752.0,461090.0,,,,,0.13550108671188354,0.29781046509742737
